#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
IV|ACATE|37.02398|14.50064|210|ACATE|2019-02-28T05:59:00|
IV|ACER|40.7867|15.9427|690|Acerenza|2007-07-05T12:00:00|
IV|AGLI|41.1269|9.1733|180|Aglientu|2017-03-21T19:36:44|
IV|AGST|37.25652|15.22713|70|Augusta|2003-03-01T00:00:00|
IV|AIO|37.9712|15.233|751|Antillo, Italy|2012-05-31T12:00:00|
IV|ALJA|37.74897|13.75373|700|Alia|2008-02-14T10:00:00|
IV|AMUR|40.9071|16.6041|443|Altamura|2005-08-03T15:46:00|
IV|AOI|43.55017|13.602|530.0|Monte Conero|2004-06-29T10:00:00|
IV|APEC|43.55846|12.41991|488|Apecchio|2014-02-06T12:00:00|
IV|APPI|46.47868|11.22813|1056.0|Appiano|2003-11-12T00:00:00|
IV|APRC|41.75738|15.54308|672.0|Apricena (FG)|2016-01-21T13:39:26|
IV|AQT1|42.772582|13.294865|742.0|Arquata del Tronto|2011-07-19T00:00:00|2016-09-01T09:50:00
IV|AQU|42.354|13.405|710|L'Aquila, Italy|2003-03-01T00:00:00|2008-10-15T00:00:00
IV|ARCI|42.8519|11.4754|1080|Arcidosso|2005-05-04T10:50:00|
IV|ARRO|42.57917|12.76567|253|Arrone|2012-01-18T09:00:00|
IV|ARVD|43.49807|12.94153|461.0|ARCEVIA 2|2003-03-01T00:00:00|
IV|ASCOL|42.851223|13.58969|180|Ascoli Piceno|2021-06-16T10:00:00|
IV|ASOL|45.8003|11.9023|181.0|Asolo|2011-11-17T10:38:26|
IV|ASQU|43.7967|11.7893|860|Asqua|2007-10-25T00:00:00|
IV|ASS|43.06298|12.65175|805|ASSISI|2003-03-01T00:00:00|2011-04-01T00:00:00
IV|ASSB|43.0426|12.6587|734|Assisi San Benedetto|2008-06-11T16:30:00|
IV|ATBU|43.47571|12.54828|1000|AVT - Serra di Burano|2009-10-27T11:00:00|
IV|ATCA|43.56589|12.26614|688.0|Cantone|2010-06-04T13:30:00|2012-12-11T09:00:00
IV|ATCC|43.18514|12.63994|557|AVT - Casa Castalda|2009-12-16T12:00:00|
IV|ATFO|43.3666|12.5715|960|Monte Foce - Gubbio|2009-08-10T15:00:00|
IV|ATLO|43.31516|12.40726|584|AVT - Montelovesco|2009-11-11T12:00:00|
IV|ATMC|43.44685|12.1928|740|Monte Cedrone|2009-01-29T13:00:00|
IV|ATMI|43.33419|12.26801|581|AVT - Monte Miggiano|2009-11-24T00:00:00|
IV|ATN|38.15948|15.46472|1130.0|ANTENNAMARE|2003-03-01T00:00:00|2015-08-28T12:00:00
IV|ATPC|43.4807|12.457|810|Poggio Castellaccio|2009-01-26T15:00:00|
IV|ATPI|43.45068|12.40222|694|Pietralunga - Aviosuperficie|2009-03-17T12:00:00|
IV|ATRE|43.54615|12.2639|462.0|Renzetti|2013-09-17T08:59:00|2014-01-30T12:24:00
IV|ATSC|43.424|12.68641|895|Scheggia|2012-11-29T09:10:00|
IV|ATTE|43.1979|12.3536|929|AVT - Monte Tezio|2009-11-24T00:00:00|2020-07-08T18:00:00
IV|ATVA|43.2786|12.28531|605|AVT - Monte Valcinella|2009-11-11T00:00:00|
IV|ATVO|43.38211|12.40663|638|AVT - Monte Valentino|2009-10-27T00:00:00|
